"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)"
"2023-04-30","2023Apr","3.1794444"
"2023-05-31","2023May","3.3717273"
"2023-06-30","2023Jun","3.5358636"
"2023-07-31","2023Jul","3.6718095"
"2023-08-31","2023Aug","3.7803043"
"2023-09-30","2023Sep","3.8800476"
"2023-10-31","2023Oct","3.9676364"
"2023-11-30","2023Nov","3.9716364"
"2023-12-31","2023Dec","3.9348947"
"2024-01-31","2024Jan","3.9252727"
"2024-02-29","2024Feb","3.9231905"
"2024-03-31","2024Mar","3.9231000"
"2024-04-30","2024Apr","3.8853333"
"2024-05-31","2024May","3.8126818"
"2024-06-30","2024Jun","3.7245000"
"2024-07-31","2024Jul","3.6848261"
"2024-08-31","2024Aug","3.5475909"
"2024-09-30","2024Sep","3.4337143"
"2024-10-31","2024Oct","3.1666087"
"2024-11-30","2024Nov","3.0067619"
"2024-12-31","2024Dec","2.8246000"
"2025-01-31","2025Jan","2.7042727"
"2025-02-28","2025Feb","2.5249500"
"2025-03-31","2025Mar","2.4424286"
"2025-04-30","2025Apr","2.2494000"
"2025-05-31","2025May","2.0872381"
"2025-06-30","2025Jun","1.9836190"
"2025-07-31","2025Jul","1.9863478"
"2025-08-31","2025Aug","2.0210952"
"2025-09-30","2025Sep","2.0272727"
"2025-10-31","2025Oct","2.0344348"
"2025-11-30","2025Nov","2.0416500"
"2025-12-31","2025Dec","2.0484286"
"2026-01-31","2026Jan","2.0277273"
"2026-02-28","2026Feb","2.0113000"
"2026-03-31","2026Mar","2.1094091"
"2026-04-30","2026Apr","2.1753000"
"2026-05-31","2026May","2.2261000"
"2026-06-30","2026Jun","2.3390000"
"2026-07-31","2026Jul","2.4253913"
